"","p_cal"
"1",0.0670046604428321
"2",0.981387644834028
"3",0.736980975078474
"4",0.449562182335112
"5",0.234538010589347
"6",0.0137035273766952
"7",0.361658351710367
"8",0.835333459402352
"9",0.482141336617811
"10",0.373445761897202
"11",0.335634282424179
"12",0.279215103724361
"13",0.151513947568211
"14",0.564090259092441
"15",0.754507474094759
"16",0.225194605192994
"17",0.047019029970853
"18",0.705324800075782
"19",0.378151492806729
"20",0.0321779121802986
"21",0.160676677657362
"22",0.871934013252258
"23",0.898522936648742
"24",0.602631123735399
"25",0.259750056236101
"26",0.493706746320846
"27",0.607498775283052
"28",0.504571727791607
"29",0.404114892527986
"30",0.0174090804871995
"31",0.563155609872147
"32",0.58778864088199
"33",0.021678121158039
"34",0.28659529111261
"35",0.790187515798943
"36",0.110755991608596
"37",0.0862954857772366
"38",0.246267714753861
"39",0.073534474655159
"40",0.643612781173923
"41",0.0588164975696993
"42",0.0810732574225428
"43",0.187001951639991
"44",0.696846624852069
"45",0.699969640306138
"46",0.0241957855850016
"47",0.0357547202798063
"48",0.274363100516503
"49",0.718196531843517
"50",0.91366066202623
"51",0.911133367148603
"52",0.0455878396879479
"53",0.10822633792836
"54",0.793249457119258
"55",0.113068419351815
"56",0.520678832580529
"57",0.0263789243223736
"58",0.269020283494931
"59",0.436705266131742
"60",0.454613555827467
"61",0.139103643470548
"62",0.0714800166848974
"63",0.893597524993372
"64",0.384769537633914
"65",0.0314571375002999
"66",0.0875453029622142
"67",0.554454994357157
"68",0.0751887319258342
"69",0.313391745845781
"70",0.956994830925772
"71",0.146520034769493
"72",0.392829264036364
"73",0.529929594833314
"74",0.544325890327036
"75",0.926428887486391
"76",0.41873238148937
"77",0.260483080037762
"78",0.374306923514116
"79",0.811633198865191
"80",0.474440203658141
"81",0.190115401207745
"82",0.805509728931116
"83",0.825662365549594
"84",0.709261462528462
"85",0.245556048044166
"86",0.104860279478693
"87",0.912761918538076
"88",0.799671807090498
"89",0.0406282470527987
"90",0.823523612590983
"91",0.0614551083823173
"92",0.0422235953914784
"93",0.260169805502151
"94",0.116544303081256
"95",0.93692897832411
"96",0.791195646592917
"97",0.0526924042401014
"98",0.953345605812452
"99",0.438119101690331
"100",0.0886459579117513
"101",0.166489185867554
"102",0.692909625089325
"103",0.238363574674355
"104",0.0261855198988164
"105",0.573869253550817
"106",0.591695926309603
"107",0.471343262211477
"108",0.430978632916111
"109",0.0939045629172352
"110",0.927126753147532
"111",0.0567605857296164
"112",0.614392086939466
"113",0.634931073686783
"114",0.0211338380774089
"115",0.402616532743211
"116",0.899087130314239
"117",0.734787786241132
"118",0.0142047508035463
"119",0.701897891108369
"120",0.14523781628195
"121",0.0527250009532975
"122",0.644009884604872
"123",0.106756894797674
"124",0.943911526717741
"125",0.0958126255185878
"126",0.352879860307515
"127",0.623157816873929
"128",0.0862874126475181
"129",0.839653049203495
"130",0.278425987068561
"131",0.0668690915348015
"132",0.839837882264937
"133",0.953857240307725
"134",0.901690580150426
"135",0.622419345654496
"136",0.643504984668567
"137",0.643835640042455
"138",0.172098552170692
"139",0.754791460254855
"140",0.344651889218476
"141",0.17903991172166
"142",0.849248886159886
"143",0.641387315951722
"144",0.252634725381183
"145",0.0300126757690249
"146",0.0993267266703775
"147",0.474164569156805
"148",0.951512031453062
"149",0.45147956565359
"150",0.130382076541887
"151",0.963621694626186
"152",0.351476823857881
"153",0.566895710705793
"154",0.105735917098946
"155",0.639005369178114
"156",0.0634161224601011
"157",0.184411624181803
"158",0.675980956767876
