admission_probability,scaling_factor
0,0.565567165322147
0.025,0.650764467514126
0.05,0.735212861758766
0.075,0.813986316110621
0.1,0.879632190451802
0.125,0.927533801264254
0.15,0.958699039897269
0.175,0.979450060525559
0.2,0.997865554309156
0.225,1.02010130763669
0.25,1.04804475724309
0.275,1.07899822908972
0.3,1.10778068728118
0.325,1.12992854563002
0.35,1.14440308730981
0.375,1.15395088778228
0.4,1.16343788206028
0.425,1.17761629047455
0.45,1.19916666381865
0.475,1.22750067758121
0.5,1.25848021562209
0.525,1.28672842953083
0.55,1.30827096617484
0.575,1.32203710255275
0.6,1.33017027856247
0.625,1.33723797923696
0.65,1.34810057150212
0.675,1.36541175146665
0.7,1.38844103472984
0.725,1.41353641641137
0.75,1.43553898607606
0.775,1.44975575175159
0.8,1.45476050930401
0.825,1.45313647236368
0.85,1.45074387283083
0.875,1.45563021487288
0.9,1.47485746786255
0.925,1.51121339790403
0.95,1.56211886732702
0.975,1.62125454791285
1,1.68234489393427
