Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,0,420.0
,0,480.0
,0,540.0
,0,600.0
,5,660.0
,10,720.0
,16,780.0
,11,840.0
,12,900.0
,16,960.0
,20,1020.0
,22,1080.0
,20,1140.0
,22,1200.0
,26,1260.0
,27,1320.0
,26,1380.0
,28,1440.0
,26,1500.0
,23,1560.0
,23,1620.0
,21,1680.0
,21,1740.0
,21,1800.0
,20,1860.0
,20,1920.0
,20,1980.0
,16,2040.0
,20,2100.0
,20,2160.0
,17,2220.0
,22,2280.0
,25,2340.0
,25,2400.0
,25,2460.0
,20,2520.0
,21,2580.0
,24,2640.0
,27,2700.0
,27,2760.0
,28,2820.0
,25,2880.0
,26,2940.0
,25,3000.0
,26,3060.0
,22,3120.0
,21,3180.0
,18,3240.0
,19,3300.0
,19,3360.0
,20,3420.0
,15,3480.0
,15,3540.0
,11,3600.0
,13,3660.0
,19,3720.0
,21,3780.0
,19,3840.0
,16,3900.0
,18,3960.0
,20,4020.0
,23,4080.0
,21,4140.0
,17,4200.0
,18,4260.0
,15,4320.0
,9,4380.0
,8,4440.0
,8,4500.0
,8,4560.0
,6,4620.0
,6,4680.0
,6,4740.0
,7,4800.0
,7,4860.0
,9,4920.0
,12,4980.0
,13,5040.0
,15,5100.0
,15,5160.0
,15,5220.0
,17,5280.0
,21,5340.0
,17,5400.0
,19,5460.0
,21,5520.0
,21,5580.0
,19,5640.0
,18,5700.0
,17,5760.0
,16,5820.0
,15,5880.0
,13,5940.0
,8,6000.0
,7,6060.0
,6,6120.0
,7,6180.0
,7,6240.0
,8,6300.0
,12,6360.0
,15,6420.0
,11,6480.0
,15,6540.0
,19,6600.0
,22,6660.0
,21,6720.0
,19,6780.0
,20,6840.0
,23,6900.0
,21,6960.0
,21,7020.0
,19,7080.0
,14,7140.0
,12,7200.0
,11,7260.0
,12,7320.0
,12,7380.0
,12,7440.0
,10,7500.0
,8,7560.0
,9,7620.0
,9,7680.0
,11,7740.0
,13,7800.0
,13,7860.0
,17,7920.0
,17,7980.0
,20,8040.0
,21,8100.0
,23,8160.0
,26,8220.0
,26,8280.0
,28,8340.0
,27,8400.0
,28,8460.0
,26,8520.0
,24,8580.0
,24,8640.0
,25,8700.0
,23,8760.0
,22,8820.0
,22,8880.0
,22,8940.0
,22,9000.0
,23,9060.0
,24,9120.0
,23,9180.0
,26,9240.0
,26,9300.0
,20,9360.0
,22,9420.0
,24,9480.0
,26,9540.0
,26,9600.0
,26,9660.0
,24,9720.0
,26,9780.0
,25,9840.0
,27,9900.0
,25,9960.0
,25,10020.0
,25,10080.0
,26,10140.0
,25,10200.0
,25,10260.0
,24,10320.0
,26,10380.0
,24,10440.0
,23,10500.0
,22,10560.0
,27,10620.0
,29,10680.0
,28,10740.0
,32,10800.0
,34,10860.0
,36,10920.0
,44,10980.0
,49,11040.0
,50,11100.0
,56,11160.0
,54,11220.0
,50,11280.0
,51,11340.0
,50,11400.0
,49,11460.0
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,0,420.0
,0,480.0
,0,540.0
,0,600.0
,0,660.0
,1,720.0
,4,780.0
,7,840.0
,8,900.0
,12,960.0
,14,1020.0
,15,1080.0
,12,1140.0
,16,1200.0
,19,1260.0
,21,1320.0
,25,1380.0
,21,1440.0
,17,1500.0
,16,1560.0
,14,1620.0
,13,1680.0
,13,1740.0
,13,1800.0
,12,1860.0
,12,1920.0
,12,1980.0
,18,2040.0
,21,2100.0
,21,2160.0
,24,2220.0
,26,2280.0
,23,2340.0
,20,2400.0
,17,2460.0
,18,2520.0
,21,2580.0
,27,2640.0
,26,2700.0
,24,2760.0
,24,2820.0
,24,2880.0
,21,2940.0
,17,3000.0
,18,3060.0
,17,3120.0
,16,3180.0
,16,3240.0
,15,3300.0
,15,3360.0
,16,3420.0
,19,3480.0
,21,3540.0
,22,3600.0
,21,3660.0
,23,3720.0
,30,3780.0
,31,3840.0
,37,3900.0
,35,3960.0
,33,4020.0
,27,4080.0
,23,4140.0
,24,4200.0
,24,4260.0
,25,4320.0
,23,4380.0
,23,4440.0
,23,4500.0
,22,4560.0
,21,4620.0
,21,4680.0
,21,4740.0
,21,4800.0
,25,4860.0
,25,4920.0
,27,4980.0
,30,5040.0
,29,5100.0
,31,5160.0
,35,5220.0
,37,5280.0
,38,5340.0
,40,5400.0
,41,5460.0
,43,5520.0
,41,5580.0
,40,5640.0
,41,5700.0
,39,5760.0
,39,5820.0
,40,5880.0
,39,5940.0
,42,6000.0
,40,6060.0
,41,6120.0
,36,6180.0
,38,6240.0
,40,6300.0
,41,6360.0
,42,6420.0
,48,6480.0
,45,6540.0
,46,6600.0
,49,6660.0
,53,6720.0
,53,6780.0
,52,6840.0
,57,6900.0
,58,6960.0
,57,7020.0
,55,7080.0
,56,7140.0
,57,7200.0
,57,7260.0
,55,7320.0
,55,7380.0
,51,7440.0
,47,7500.0
,48,7560.0
,49,7620.0
,49,7680.0
,51,7740.0
,51,7800.0
,52,7860.0
,52,7920.0
,50,7980.0
,48,8040.0
,47,8100.0
,48,8160.0
,49,8220.0
,49,8280.0
,45,8340.0
,46,8400.0
,45,8460.0
,44,8520.0
,44,8580.0
,43,8640.0
,44,8700.0
,44,8760.0
,38,8820.0
,38,8880.0
,38,8940.0
,41,9000.0
,37,9060.0
,37,9120.0
,37,9180.0
,38,9240.0
,38,9300.0
,41,9360.0
,40,9420.0
,43,9480.0
,42,9540.0
,41,9600.0
,46,9660.0
,50,9720.0
,49,9780.0
,49,9840.0
,50,9900.0
,48,9960.0
,49,10020.0
,49,10080.0
,46,10140.0
,46,10200.0
,46,10260.0
,44,10320.0
,44,10380.0
,44,10440.0
,42,10500.0
,42,10560.0
,45,10620.0
,46,10680.0
,51,10740.0
,55,10800.0
,62,10860.0
,65,10920.0
,68,10980.0
,66,11040.0
,68,11100.0
,74,11160.0
,77,11220.0
,79,11280.0
,74,11340.0
,73,11400.0
,72,11460.0
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,0,420.0
,0,480.0
,0,540.0
,0,600.0
,0,660.0
,1,720.0
,3,780.0
,10,840.0
,10,900.0
,11,960.0
,12,1020.0
,18,1080.0
,20,1140.0
,22,1200.0
,23,1260.0
,22,1320.0
,22,1380.0
,20,1440.0
,18,1500.0
,16,1560.0
,16,1620.0
,16,1680.0
,15,1740.0
,14,1800.0
,14,1860.0
,12,1920.0
,13,1980.0
,13,2040.0
,17,2100.0
,18,2160.0
,20,2220.0
,23,2280.0
,22,2340.0
,23,2400.0
,26,2460.0
,29,2520.0
,28,2580.0
,25,2640.0
,21,2700.0
,24,2760.0
,22,2820.0
,19,2880.0
,13,2940.0
,8,3000.0
,7,3060.0
,8,3120.0
,10,3180.0
,10,3240.0
,10,3300.0
,10,3360.0
,12,3420.0
,18,3480.0
,20,3540.0
,24,3600.0
,28,3660.0
,30,3720.0
,35,3780.0
,37,3840.0
,41,3900.0
,47,3960.0
,51,4020.0
,53,4080.0
,52,4140.0
,54,4200.0
,49,4260.0
,41,4320.0
,37,4380.0
,35,4440.0
,35,4500.0
,33,4560.0
,34,4620.0
,34,4680.0
,31,4740.0
,33,4800.0
,33,4860.0
,35,4920.0
,38,4980.0
,41,5040.0
,43,5100.0
,48,5160.0
,57,5220.0
,61,5280.0
,64,5340.0
,69,5400.0
,70,5460.0
,66,5520.0
,67,5580.0
,65,5640.0
,56,5700.0
,56,5760.0
,52,5820.0
,47,5880.0
,41,5940.0
,42,6000.0
,41,6060.0
,41,6120.0
,43,6180.0
,41,6240.0
,40,6300.0
,42,6360.0
,41,6420.0
,40,6480.0
,41,6540.0
,45,6600.0
,46,6660.0
,46,6720.0
,49,6780.0
,49,6840.0
,50,6900.0
,51,6960.0
,52,7020.0
,54,7080.0
,52,7140.0
,51,7200.0
,49,7260.0
,49,7320.0
,50,7380.0
,49,7440.0
,47,7500.0
,47,7560.0
,46,7620.0
,44,7680.0
,45,7740.0
,50,7800.0
,53,7860.0
,54,7920.0
,54,7980.0
,59,8040.0
,61,8100.0
,62,8160.0
,63,8220.0
,65,8280.0
,64,8340.0
,68,8400.0
,66,8460.0
,67,8520.0
,69,8580.0
,64,8640.0
,65,8700.0
,67,8760.0
,69,8820.0
,65,8880.0
,65,8940.0
,64,9000.0
,62,9060.0
,62,9120.0
,63,9180.0
,64,9240.0
,66,9300.0
,68,9360.0
,68,9420.0
,69,9480.0
,70,9540.0
,73,9600.0
,74,9660.0
,80,9720.0
,82,9780.0
,84,9840.0
,86,9900.0
,89,9960.0
,90,10020.0
,88,10080.0
,87,10140.0
,83,10200.0
,84,10260.0
,83,10320.0
,82,10380.0
,85,10440.0
,83,10500.0
,84,10560.0
,86,10620.0
,86,10680.0
,90,10740.0
,95,10800.0
,96,10860.0
,96,10920.0
,104,10980.0
,104,11040.0
,108,11100.0
,114,11160.0
,113,11220.0
,112,11280.0
,113,11340.0
,114,11400.0
,106,11460.0
,0,0.0
,0,60.0
,0,120.0
,0,180.0
,0,240.0
,0,300.0
,0,360.0
,1,420.0
,1,480.0
,1,540.0
,3,600.0
,3,660.0
,6,720.0
,9,780.0
,17,840.0
,21,900.0
,17,960.0
,20,1020.0
,24,1080.0
,25,1140.0
,27,1200.0
,24,1260.0
,26,1320.0
,27,1380.0
,24,1440.0
,22,1500.0
,22,1560.0
,20,1620.0
,18,1680.0
,17,1740.0
,17,1800.0
,18,1860.0
,18,1920.0
,19,1980.0
,16,2040.0
,21,2100.0
,23,2160.0
,26,2220.0
,21,2280.0
,15,2340.0
,17,2400.0
,17,2460.0
,19,2520.0
,11,2580.0
,9,2640.0
,7,2700.0
,7,2760.0
,7,2820.0
,3,2880.0
,3,2940.0
,4,3000.0
,5,3060.0
,3,3120.0
,3,3180.0
,2,3240.0
,3,3300.0
,2,3360.0
,5,3420.0
,7,3480.0
,6,3540.0
,7,3600.0
,10,3660.0
,10,3720.0
,11,3780.0
,7,3840.0
,14,3900.0
,18,3960.0
,16,4020.0
,19,4080.0
,18,4140.0
,18,4200.0
,16,4260.0
,16,4320.0
,18,4380.0
,19,4440.0
,18,4500.0
,18,4560.0
,13,4620.0
,13,4680.0
,13,4740.0
,11,4800.0
,13,4860.0
