day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Fri,4.020666167578343,587.7699832834537,674.1114405804739,,,0.08139534883720931,0.015503875968992248,690.9393151648184,0.7807807807807807,0.4954954954954955,1
Mon,5.219794153269398,136.75997692020115,194.8692725971281,272.1047462388828,492.2388593763631,0.10891089108910891,0.059602649006622516,255.21974483831679,0.30687830687830686,0.018518518518518517,1
Sat,2.5814056348831103,440.8884106421886,518.9696786944959,697.2296908595084,877.0670731976696,0.07692307692307693,0.01809954751131222,551.3473745131602,0.7508650519031141,0.328719723183391,1
Sun,1.5209624338112306,203.17655596211426,267.5830698883562,445.02096376891353,762.9858147456722,0.14979757085020243,0.06072874493927125,388.6077543065394,0.6241610738255033,0.13087248322147652,1
Thu,4.899716854129482,574.7058421637013,654.3862212800401,500.93878749061975,492.15150859967,0.11481481481481481,0.014814814814814815,687.080723349928,0.768361581920904,0.4830508474576271,1
Tue,12.594403843533746,383.3497946613399,538.3005068294486,466.7365164016952,630.4138810649433,0.11290322580645161,0.01935483870967742,498.53463809334266,0.7121588089330024,0.3002481389578164,1
Wed,4.075053801489471,509.0090032884655,626.399238717637,538.1595364168041,740.6675118110942,0.10238907849829351,0.013651877133105802,625.3833189201042,0.7493036211699164,0.4233983286908078,1
Fri,4.279328047406649,338.63459369031216,446.0581267279009,289.7461812601319,283.4552408292781,0.11742424242424243,0.015151515151515152,445.584934245039,0.6853932584269663,0.2640449438202247,2
Mon,19.052949535495678,73.77156633833947,148.8141480500753,242.66714886810405,312.6926603403117,0.12413793103448276,0.09655172413793103,170.97433226422342,0.19293478260869565,0.0,2
Sat,2.2730340589689493,149.3116233998367,232.60475952628133,235.83594809856115,371.18076832863295,0.1,0.01818181818181818,282.983566251168,0.46099290780141844,0.03900709219858156,2
Sun,2.4259265805113777,39.82140835145275,146.4915129241126,311.010483247335,460.3409999013585,0.05508474576271186,0.038135593220338986,177.39464268273255,0.26755852842809363,0.016722408026755852,2
Thu,4.9553621461883495,277.1010758854867,351.67649645909074,,,0.11023622047244094,0.015748031496062992,396.7965165707785,0.6119402985074627,0.19402985074626866,2
Tue,7.698505925096448,149.85874692414444,236.41522918843725,190.70840196361968,205.97212349994567,0.10989010989010989,0.018315018315018316,266.26724286797344,0.41040462427745666,0.028901734104046242,2
Wed,4.354435812854288,225.7998046889946,244.16217927987128,171.38825970796793,294.0429291676632,0.10507246376811594,0.014492753623188406,349.0519977863623,0.5123287671232877,0.136986301369863,2
Fri,3.586100078894112,183.0378191925491,326.4769525311938,,,0.09230769230769231,0.015384615384615385,297.57408895944013,0.4358974358974359,0.05128205128205128,3
Mon,5.9072661387379775,69.67508142482761,170.5834716190895,207.6956139385155,319.8352193574319,0.13028169014084506,0.08098591549295775,164.99624526880385,0.176,0.0026666666666666666,3
Sat,2.062086743861425,124.92983216218354,183.68177136850494,180.44546376133647,253.01547663492667,0.10619469026548672,0.017699115044247787,242.36274993461143,0.3443708609271523,0.013245033112582781,3
Sun,2.2398126393396405,50.076305868056544,154.0617648698088,193.4833096636536,429.1704294175717,0.09795918367346938,0.04897959183673469,227.61646296794947,0.3377049180327869,0.05573770491803279,3
Thu,2.204573326939797,98.39052773706902,183.39817367340987,136.5173604871237,207.0527951640188,0.0888030888030888,0.015444015444015444,207.61426434297258,0.2976190476190476,0.017857142857142856,3
Tue,5.717245412292978,217.2050981594903,287.25091526549755,320.1119055897704,437.46679734255076,0.11196911196911197,0.023166023166023165,349.7501285454186,0.600609756097561,0.0701219512195122,3
Wed,2.9245115029929303,67.47127459486009,118.19812610601653,126.68118476148106,254.94933405510892,0.10358565737051793,0.01593625498007968,173.02512962810212,0.2168284789644013,0.006472491909385114,3
Fri,3.37761327464804,52.915044176707305,126.0026385739104,46.765614671818184,,0.10077519379844961,0.015503875968992248,170.18408881129804,0.21428571428571427,0.017857142857142856,4
Mon,19.64956214280385,94.20514893549732,162.00437401873918,169.58902446946922,323.8077035139688,0.10273972602739725,0.06872852233676977,193.83580977053813,0.25196850393700787,0.0026246719160104987,4
Sat,2.171954936690051,42.31476201427088,113.2679199042949,,,0.08583690987124463,0.017167381974248927,157.56695719814041,0.18666666666666668,0.01,4
Sun,3.763731223172571,30.184623286414226,100.67849816422837,121.5736199567951,247.33294638639487,0.10952380952380952,0.07142857142857142,137.45063184012693,0.1449814126394052,0.0037174721189591076,4
Thu,2.9785200195684545,60.04127869586517,129.68763881214605,120.92869958968966,234.24166461609957,0.0648854961832061,0.015267175572519083,180.44392183857354,0.20241691842900303,0.01812688821752266,4
Tue,7.674404095671794,210.11318563644778,298.6481873626389,228.37601996493953,309.3833133566221,0.07971014492753623,0.025362318840579712,325.08122139826975,0.5,0.059322033898305086,4
Wed,1.5796226544800045,115.86984921493246,161.73584680509123,114.36017095358018,146.31168234051916,0.09545454545454546,0.01818181818181818,232.1242060456956,0.3150684931506849,0.0136986301369863,4
Fri,1.6832265612403678,335.08948535099324,434.8847095956985,495.80518883512366,555.8828665070988,0.08695652173913043,0.015810276679841896,464.3962478839013,0.7951070336391437,0.22018348623853212,5
Mon,4.142847098688783,47.73699473228966,126.25861662923495,198.99178457662498,353.52789322663665,0.09225092250922509,0.06319702602230483,162.68261829950058,0.2056338028169014,0.0028169014084507044,5
Sat,2.887395703795841,278.2434343780496,344.9239547574588,718.2617613920105,899.0427151224345,0.09523809523809523,0.015873015873015872,469.02031850676593,0.770392749244713,0.18429003021148035,5
Sun,5.004766624065675,128.013479341482,210.03290067735117,478.5750910062477,758.4410814529389,0.136,0.08,300.2423977467613,0.41509433962264153,0.09119496855345911,5
Thu,3.7788054258905746,390.52274859234774,418.98980921850415,380.6646852360808,392.52106122761506,0.10948905109489052,0.014598540145985401,493.7522189918801,0.7764705882352941,0.2823529411764706,5
Tue,7.713852123576254,347.17992623406104,462.00491848267484,489.8621253528826,632.7911223644994,0.12,0.02666666666666667,477.57102499834417,0.7575757575757576,0.256198347107438,5
Wed,3.563225480188536,398.6347882676669,499.0886528812601,454.5411883914785,673.6811668363586,0.1111111111111111,0.015873015873015872,505.90202442759653,0.7761194029850746,0.24477611940298508,5
Fri,3.941104708350244,302.48570372801066,300.8867857405311,407.85829930586556,589.1944208652776,0.12454212454212454,0.014652014652014652,459.0966490775745,0.6601123595505618,0.27808988764044945,6
Mon,3.226074645254665,127.80153810720938,224.86010772929168,339.34840482038817,461.7625991186743,0.10600706713780919,0.05653710247349823,239.8422490579304,0.30238726790450926,0.005305039787798408,6
Sat,3.244812301581258,336.0239632612764,459.62445346975557,520.93549483816,715.0254846317364,0.07224334600760456,0.015209125475285171,469.9735063145317,0.8083067092651757,0.1853035143769968,6
Sun,2.2542839041809972,168.12996032370913,230.13186873270467,344.52792016889435,565.7651665758045,0.09881422924901186,0.05138339920948617,322.54236337806884,0.49050632911392406,0.08544303797468354,6
Thu,1.5797046125478662,329.8455192712876,341.4572752019626,456.9717944023923,576.7696708537507,0.13452914798206278,0.017937219730941704,450.7856136620524,0.8021201413427562,0.18021201413427562,6
Tue,5.567958944888125,379.6790467952757,397.02071024153423,292.614648286778,503.5268217303243,0.09473684210526316,0.021052631578947368,496.5035024749918,0.728494623655914,0.3010752688172043,6
Wed,4.149276333142026,441.55124424375595,529.3800189449805,633.8253412730988,725.5622495828122,0.10163934426229508,0.013114754098360656,556.4615279753195,0.7513227513227513,0.36507936507936506,6
Fri,4.414106331661208,225.24799588747604,293.5466775699786,385.3077647335809,523.6449448048737,0.09090909090909091,0.01652892561983471,372.0683366894932,0.6293929712460063,0.08626198083067092,7
Mon,12.033490045714986,69.39300384432202,150.104796505603,301.8468547981741,436.0270075273906,0.12418300653594772,0.06885245901639345,193.77122309797429,0.22311827956989247,0.0,7
Sat,3.5643795084722636,113.46566545285147,188.79118494682632,319.6592135797153,513.3538004808353,0.09349593495934959,0.016260162601626018,271.1216849365211,0.38977635782747605,0.03514376996805112,7
Sun,2.592091251938882,58.67588750734387,143.09476089163573,172.37934787113684,330.33227993781213,0.12244897959183673,0.053061224489795916,200.13462928402518,0.2980769230769231,0.03205128205128205,7
Thu,3.77319957996515,336.9706191463205,392.2841457123949,594.7469546729761,714.4315105907858,0.08013937282229965,0.013937282229965157,502.7100122931953,0.7574931880108992,0.29155313351498635,7
Tue,4.765649865455924,211.49670388458648,314.1145289912415,398.4334184824433,534.7859558503858,0.09090909090909091,0.016233766233766232,343.06583934061763,0.5620052770448549,0.0712401055408971,7
Wed,2.7217264989239527,220.6327975837291,313.7956718150209,358.3290179960446,472.67345353024575,0.12992125984251968,0.015748031496062992,364.82222806907345,0.5467836257309941,0.13157894736842105,7
Fri,3.5904901238392712,335.9170383051656,400.96522424303237,347.767872808673,402.53763806750965,0.09803921568627451,0.01568627450980392,451.41492335923465,0.7915407854984894,0.23564954682779457,8
Mon,4.5063682520224235,48.260326501137484,111.70375043753853,115.78255219494032,266.0867029713578,0.0912280701754386,0.05263157894736842,144.33401728373713,0.1273209549071618,0.005305039787798408,8
Sat,2.816751974592264,259.7533650978273,322.3747919348645,407.59541093737346,501.14064426361375,0.09090909090909091,0.017316017316017316,401.206608696721,0.7748344370860927,0.09933774834437085,8
Sun,2.236304152803053,80.51202231664791,176.41528298150465,296.16300600272507,424.1295545359556,0.11538461538461539,0.07264957264957266,219.011695927067,0.3,0.023333333333333334,8
Thu,6.217973167176155,337.592046787462,409.60301106925164,397.31357949849723,517.2706871473997,0.10196078431372549,0.01568627450980392,467.0976621067255,0.7652173913043478,0.23478260869565218,8
Tue,4.587108060755552,240.6153071745903,366.4159929025324,223.4482772985645,289.010864538366,0.09578544061302682,0.019157088122605363,368.51787364675045,0.5784883720930233,0.09883720930232558,8
Wed,2.5367240486315863,263.1591405448796,321.2090708872924,394.0081529166734,585.8463769922325,0.07407407407407407,0.014814814814814815,395.7983646683786,0.6517857142857143,0.13095238095238096,8
Fri,3.3755333525095783,82.95953577305818,184.90105851716038,210.7221865894322,378.63618424456155,0.11811023622047244,0.015748031496062992,197.31838261240853,0.26443768996960487,0.015197568389057751,9
Mon,2.584182577070479,29.531441947374393,94.16156581727088,124.9086811193112,206.87535048339237,0.10915492957746478,0.045936395759717315,128.13410041409776,0.06925207756232687,0.002770083102493075,9
Sat,1.549920996999761,40.229866551269666,122.38083019037568,168.2316514972509,256.9980386570162,0.1152073732718894,0.018433179723502304,169.1635074975476,0.20216606498194944,0.010830324909747292,9
Sun,2.890427169234035,28.937464433895812,119.0041598899507,122.69545380238257,232.0198894475246,0.08450704225352113,0.07511737089201878,136.3413415297287,0.13986013986013987,0.0034965034965034965,9
Thu,6.142505188115031,101.29068458308322,179.39454877303837,315.8994753786362,420.4134720918302,0.1037037037037037,0.014814814814814815,235.72133120535233,0.3684210526315789,0.008771929824561403,9
Tue,5.722507688145227,190.9789371727276,261.80352405315824,224.59030405400335,,0.09259259259259259,0.025925925925925925,294.96418106735274,0.46131805157593125,0.03151862464183381,9
Wed,3.5904640227732494,141.5407244715082,264.83215715149686,221.86930284538096,315.66409511701323,0.08097165991902834,0.016194331983805668,284.0634839916508,0.4146341463414634,0.036585365853658534,9
Fri,3.010603317228505,251.5897147040455,331.49686919338114,396.419867171157,765.2570404019307,0.08996539792387544,0.01384083044982699,369.77663723491764,0.5916666666666667,0.11388888888888889,10
Mon,4.87387112973221,60.18320411909662,148.39944723738734,187.0548065585757,315.9568439696913,0.1254355400696864,0.05244755244755245,171.79952150818886,0.17134831460674158,0.0056179775280898875,10
Sat,1.1815751939770962,112.8848970883457,163.91651318219013,354.34924866535954,528.2980377609051,0.07425742574257425,0.019801980198019802,276.47326809638486,0.40714285714285714,0.060714285714285714,10
Sun,4.626317694403815,42.83825842356809,147.4147538813665,196.8045678779892,345.0848015574517,0.07450980392156863,0.058823529411764705,191.25798523416375,0.23961661341853036,0.04153354632587859,10
Thu,3.456387032899846,225.56054964861156,273.69476209692255,216.41838647346762,,0.0599250936329588,0.0149812734082397,334.73677306700347,0.521865889212828,0.06997084548104957,10
Tue,4.210079835555471,178.45086211754173,210.09833899430802,275.15481998594566,335.7953781307253,0.11073825503355705,0.016778523489932886,299.55435196791683,0.4394736842105263,0.08157894736842106,10
Wed,3.515284583152748,280.9615593575753,366.79644272934837,286.9647953275342,151.908385074516,0.12177121771217712,0.014760147601476014,396.3577847558966,0.6411764705882353,0.12058823529411765,10
