day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Fri,9.178121105159985,64.20289979597565,,320.61958266991024,468.74534692880013,0.08333333333333333,0.01652892561983471,214.1354319749599,0.32171581769436997,0.021447721179624665,1
Mon,20.272813629341183,54.64605734354258,,630.7756448407758,802.2327255451544,0.13592233009708737,0.056,171.6411031834526,0.12039312039312039,0.03194103194103194,1
Sat,1.5169024438043077,22.570707509708576,,616.9997845854059,814.9871557564944,0.10091743119266056,0.022727272727272728,234.87221839016374,0.2673611111111111,0.0798611111111111,1
Sun,1.9870222374383157,15.915617795744351,,604.2878956656388,904.0759756242136,0.08438818565400844,0.03,232.6766961014886,0.2280130293159609,0.1237785016286645,1
Thu,2.9106596791198087,32.268264120208336,,317.53693341202745,463.1689717930878,0.12307692307692308,0.01818181818181818,202.4699456013646,0.24471299093655588,0.02416918429003021,1
Tue,2.688085263038845,61.842016326240355,,144.6905115638798,496.6274853536736,0.11522633744855967,0.024390243902439025,227.2502461358536,0.2761904761904762,0.047619047619047616,1
Wed,5.4177673540589755,33.21504816549456,,205.8256217375202,388.81155944471624,0.09328358208955224,0.017777777777777778,179.32643209613283,0.2222222222222222,0.021021021021021023,1
Fri,8.397600153229977,37.26776287833502,,1336.9564916059337,1518.39257695623,0.11355311355311355,0.018433179723502304,399.8308983847699,0.3029411764705882,0.17058823529411765,2
Mon,28.135943310358826,62.19348048544274,,,,0.12794612794612795,0.046218487394957986,160.3383406398389,0.12953367875647667,0.0,2
Sat,1.7339549819497024,41.512183804676475,,1484.824821901425,1682.9646068965333,0.08898305084745763,0.0196078431372549,361.384132848322,0.3184931506849315,0.11986301369863013,2
Sun,3.616319777750093,28.432422129435142,,1336.0275334186488,1502.7798400603103,0.1016949152542373,0.03,315.09590933032814,0.23310810810810811,0.11486486486486487,2
Thu,6.540208116869366,25.71286521341095,39.174661088143694,854.0622113174262,1036.5075709029884,0.11439114391143912,0.0182648401826484,301.1538328386256,0.25513196480938416,0.16129032258064516,2
Tue,5.912094697187249,107.2299066193888,,402.9453260578908,571.4620144539546,0.10687022900763359,0.02262443438914027,276.713789557954,0.375,0.05813953488372093,2
Wed,4.651078272998644,48.054522846482655,,610.0377128747579,804.3913875608632,0.11278195488721804,0.018433179723502304,267.9554157902282,0.3303030303030303,0.09090909090909091,2
Fri,2.481717877559889,40.13424244948662,34.76906253938705,1623.1230916848142,1854.8420562570561,0.09363295880149813,0.018691588785046728,424.3565522689553,0.3522727272727273,0.16761363636363635,3
Mon,2.6598598762374372,19.882892213002908,,,,0.10104529616724739,0.04932735426008968,109.53197579989832,0.06666666666666667,0.0,3
Sat,2.054502338721579,41.100273305455026,,2255.3573545246136,2529.5405830350105,0.12931034482758622,0.021505376344086023,556.1490486044693,0.33557046979865773,0.1610738255033557,3
Sun,3.1949174283821,22.548157703727814,,2212.410902340289,2547.7640820430966,0.07758620689655173,0.021164021164021163,169.03472470545142,0.11036789297658862,0.026755852842809364,3
Thu,6.134219192073326,16.23070227629249,43.114236537261604,1099.1710410793862,1139.4687768243705,0.08888888888888889,0.017857142857142856,289.75222719721177,0.2208955223880597,0.14626865671641792,3
Tue,4.304260842634346,60.9190947330614,,206.3785499218782,397.21617392385417,0.05673758865248227,0.0205761316872428,220.69521752378338,0.3269230769230769,0.02197802197802198,3
Wed,3.597306700522788,37.71305132688201,102.52017795123334,605.6857505030059,869.9147791872722,0.08921933085501858,0.018779342723004695,299.64491216779356,0.3153409090909091,0.13636363636363635,3
Fri,15.432234089251583,99.2114999916509,,1002.41087718033,1262.7542140629564,0.10810810810810811,0.01568627450980392,315.5869056506706,0.35092348284960423,0.11873350923482849,4
Mon,10.743055324808665,41.573895243977624,170.51590616561407,629.0663939895812,810.3998230919943,0.11784511784511785,0.056768558951965066,134.71760673463325,0.07008086253369272,0.005390835579514825,4
Sat,5.518605578334407,71.12543169903472,,989.5214621831927,1220.0070789882577,0.08677685950413223,0.01932367149758454,301.68862064233895,0.32673267326732675,0.12211221122112212,4
Sun,3.393176430350603,55.26467768911217,212.28384611046113,960.5881055402601,1151.1141440839342,0.08974358974358974,0.05527638190954774,274.62412541743237,0.3022508038585209,0.09646302250803858,4
