measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,2,alt_dt_0.70,0.7
Arrival to ED Assessment,2.5000315880281816,2,alt_dt_0.70,0.7
Arrival to Referral,36.90031794624417,2,alt_dt_0.70,0.7
Arrival to Medical Assessment,1951.5087860347214,2,alt_dt_0.70,0.7
Arrival to Consultant Assessment,3499.2124019689036,2,alt_dt_0.70,0.7
SDEC Appropriate,0.0003763643206624012,2,alt_dt_0.70,0.7
SDEC Accepted,0.04084321475625823,2,alt_dt_0.70,0.7
Time in System,619.795777643348,2,alt_dt_0.70,0.7
Breach 4hr,0.13624388407978924,2,alt_dt_0.70,0.7
Breach 12hr,0.11403838916070756,2,alt_dt_0.70,0.7
Mean ED Attendances per Day,332.125,2,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.1840421528039142,2,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.09758656873032528,2,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.11215656755739556,2,alt_dt_0.70,0.7
Direct Triage Used (share),0.11215656755739556,2,alt_dt_0.70,0.7
