Patient ID,Queue Length,Time
,0,0.0
,0,60.0
,0,120.0
,1,180.0
,1,240.0
,0,300.0
,1,360.0
,0,420.0
,0,480.0
,0,540.0
,1,600.0
,4,660.0
,6,720.0
,9,780.0
,12,840.0
,17,900.0
,17,960.0
,20,1020.0
,21,1080.0
,26,1140.0
,30,1200.0
,28,1260.0
,27,1320.0
,27,1380.0
,27,1440.0
,22,1500.0
,23,1560.0
,23,1620.0
,24,1680.0
,24,1740.0
,25,1800.0
,25,1860.0
,25,1920.0
,27,1980.0
,25,2040.0
,26,2100.0
,26,2160.0
,25,2220.0
,21,2280.0
,24,2340.0
,28,2400.0
,28,2460.0
,33,2520.0
,33,2580.0
,37,2640.0
,34,2700.0
,33,2760.0
,34,2820.0
,33,2880.0
,30,2940.0
,31,3000.0
,31,3060.0
,30,3120.0
,29,3180.0
,28,3240.0
,28,3300.0
,27,3360.0
,26,3420.0
,26,3480.0
,26,3540.0
,28,3600.0
,27,3660.0
,28,3720.0
,35,3780.0
,37,3840.0
,37,3900.0
,43,3960.0
,43,4020.0
,42,4080.0
,42,4140.0
,40,4200.0
,34,4260.0
,35,4320.0
,35,4380.0
,34,4440.0
,31,4500.0
,34,4560.0
,33,4620.0
,34,4680.0
,35,4740.0
,33,4800.0
,35,4860.0
,36,4920.0
,36,4980.0
,40,5040.0
,41,5100.0
,43,5160.0
,45,5220.0
,52,5280.0
,52,5340.0
,55,5400.0
,54,5460.0
,55,5520.0
,53,5580.0
,52,5640.0
,57,5700.0
,57,5760.0
,57,5820.0
,55,5880.0
,55,5940.0
,54,6000.0
,55,6060.0
,54,6120.0
,54,6180.0
,56,6240.0
,57,6300.0
,57,6360.0
,58,6420.0
,62,6480.0
,64,6540.0
,69,6600.0
,73,6660.0
,76,6720.0
,71,6780.0
,71,6840.0
,71,6900.0
,68,6960.0
,66,7020.0
,66,7080.0
,63,7140.0
,65,7200.0
,64,7260.0
,63,7320.0
,62,7380.0
,63,7440.0
,61,7500.0
,61,7560.0
,62,7620.0
,60,7680.0
,62,7740.0
,62,7800.0
,61,7860.0
,64,7920.0
,66,7980.0
,68,8040.0
,65,8100.0
,66,8160.0
,67,8220.0
,68,8280.0
,70,8340.0
,75,8400.0
,79,8460.0
,77,8520.0
,75,8580.0
,73,8640.0
,75,8700.0
,76,8760.0
,80,8820.0
,79,8880.0
,82,8940.0
,81,9000.0
,81,9060.0
,85,9120.0
,84,9180.0
,84,9240.0
,86,9300.0
,87,9360.0
,91,9420.0
,92,9480.0
,92,9540.0
,93,9600.0
,94,9660.0
,98,9720.0
,105,9780.0
,107,9840.0
,104,9900.0
,104,9960.0
,102,10020.0
,102,10080.0
,104,10140.0
,104,10200.0
,101,10260.0
,103,10320.0
,103,10380.0
,105,10440.0
,106,10500.0
,104,10560.0
,103,10620.0
,108,10680.0
,109,10740.0
,113,10800.0
,119,10860.0
,121,10920.0
,124,10980.0
,126,11040.0
,125,11100.0
,128,11160.0
,129,11220.0
,129,11280.0
,130,11340.0
,132,11400.0
,130,11460.0
,132,11520.0
,130,11580.0
,129,11640.0
,128,11700.0
,129,11760.0
,129,11820.0
,129,11880.0
,132,11940.0
,130,12000.0
,129,12060.0
,129,12120.0
,129,12180.0
,135,12240.0
,131,12300.0
,133,12360.0
,132,12420.0
,134,12480.0
,137,12540.0
,136,12600.0
,142,12660.0
,144,12720.0
,143,12780.0
,145,12840.0
,144,12900.0
,142,12960.0
,140,13020.0
,137,13080.0
,136,13140.0
,136,13200.0
,136,13260.0
,134,13320.0
,135,13380.0
,136,13440.0
,137,13500.0
,135,13560.0
,133,13620.0
,138,13680.0
,138,13740.0
,143,13800.0
,144,13860.0
,144,13920.0
,142,13980.0
,144,14040.0
,147,14100.0
,150,14160.0
,147,14220.0
,147,14280.0
,146,14340.0
,143,14400.0
,142,14460.0
,140,14520.0
,142,14580.0
,139,14640.0
,138,14700.0
,139,14760.0
,141,14820.0
,141,14880.0
,142,14940.0
,143,15000.0
,140,15060.0
,139,15120.0
,136,15180.0
,135,15240.0
,135,15300.0
,142,15360.0
,141,15420.0
,142,15480.0
,145,15540.0
,150,15600.0
,150,15660.0
,149,15720.0
,150,15780.0
,152,15840.0
,153,15900.0
,152,15960.0
,150,16020.0
,150,16080.0
,148,16140.0
,149,16200.0
,147,16260.0
,153,16320.0
,151,16380.0
,155,16440.0
,155,16500.0
,157,16560.0
,160,16620.0
,162,16680.0
,163,16740.0
,163,16800.0
,163,16860.0
,165,16920.0
,167,16980.0
,171,17040.0
,173,17100.0
,176,17160.0
,179,17220.0
,178,17280.0
,176,17340.0
,174,17400.0
,172,17460.0
,170,17520.0
,171,17580.0
,171,17640.0
,171,17700.0
,171,17760.0
,169,17820.0
,170,17880.0
,170,17940.0
,170,18000.0
,173,18060.0
,174,18120.0
,175,18180.0
,178,18240.0
,180,18300.0
,176,18360.0
,177,18420.0
,176,18480.0
,174,18540.0
,174,18600.0
,172,18660.0
,172,18720.0
,175,18780.0
,175,18840.0
,173,18900.0
,172,18960.0
,173,19020.0
,171,19080.0
,175,19140.0
,175,19200.0
,176,19260.0
,178,19320.0
,183,19380.0
,181,19440.0
,185,19500.0
,187,19560.0
,193,19620.0
,197,19680.0
,196,19740.0
,194,19800.0
,196,19860.0
,195,19920.0
,195,19980.0
,199,20040.0
,195,20100.0
,195,20160.0
,195,20220.0
,194,20280.0
,194,20340.0
,194,20400.0
,193,20460.0
,191,20520.0
,190,20580.0
,189,20640.0
,192,20700.0
,195,20760.0
,197,20820.0
,203,20880.0
,203,20940.0
,206,21000.0
,208,21060.0
,206,21120.0
,205,21180.0
,205,21240.0
,201,21300.0
,199,21360.0
,200,21420.0
,200,21480.0
,197,21540.0
