Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,1
240,4,0
300,5,0
360,6,0
420,7,4
480,8,0
540,9,1
600,10,0
660,11,0
720,12,1
780,13,0
840,14,0
900,15,0
960,16,1
1020,17,1
1080,18,3
1140,19,4
1200,20,3
1260,21,5
1320,22,1
1380,23,0
1440,0,0
1500,1,2
1560,2,0
1620,3,2
1680,4,1
1740,5,2
1800,6,4
1860,7,5
1920,8,6
1980,9,5
2040,10,4
2100,11,2
2160,12,2
2220,13,3
2280,14,4
2340,15,4
2400,16,5
2460,17,3
2520,18,3
2580,19,5
2640,20,7
2700,21,10
2760,22,12
2820,23,4
2880,0,4
2940,1,2
3000,2,2
3060,3,1
3120,4,2
3180,5,2
3240,6,2
3300,7,3
3360,8,5
3420,9,4
3480,10,2
3540,11,1
3600,12,2
3660,13,0
3720,14,1
3780,15,3
3840,16,3
3900,17,4
3960,18,5
4020,19,7
4080,20,7
4140,21,9
4200,22,9
4260,23,7
4320,0,8
4380,1,4
4440,2,4
4500,3,6
4560,4,8
4620,5,10
4680,6,12
4740,7,13
4800,8,14
4860,9,12
4920,10,11
4980,11,10
5040,12,10
5100,13,9
5160,14,9
5220,15,9
5280,16,10
5340,17,11
5400,18,8
5460,19,9
5520,20,11
5580,21,14
5640,22,14
5700,23,14
5760,0,12
5820,1,13
5880,2,13
5940,3,13
6000,4,15
6060,5,9
6120,6,9
6180,7,10
6240,8,11
6300,9,11
6360,10,10
6420,11,8
6480,12,8
6540,13,8
6600,14,8
6660,15,8
6720,16,11
6780,17,10
6840,18,9
6900,19,12
6960,20,14
7020,21,17
7080,22,21
7140,23,16
7200,0,16
7260,1,20
7320,2,17
7380,3,18
7440,4,20
7500,5,22
7560,6,23
7620,7,25
7680,8,24
7740,9,25
7800,10,24
7860,11,22
7920,12,20
7980,13,20
8040,14,20
8100,15,20
8160,16,18
8220,17,20
8280,18,24
8340,19,22
8400,20,25
8460,21,28
8520,22,31
8580,23,31
8640,0,32
8700,1,34
8760,2,34
8820,3,30
8880,4,31
8940,5,32
9000,6,34
9060,7,35
9120,8,35
9180,9,34
9240,10,34
9300,11,32
9360,12,32
9420,13,31
9480,14,32
9540,15,31
9600,16,31
9660,17,31
9720,18,31
9780,19,34
9840,20,35
9900,21,38
9960,22,41
10020,23,40
10080,0,40
10140,1,40
10200,2,42
10260,3,43
10320,4,46
10380,5,48
10440,6,47
10500,7,50
10560,8,51
10620,9,49
10680,10,48
10740,11,45
10800,12,44
10860,13,45
10920,14,44
10980,15,45
11040,16,45
11100,17,46
11160,18,46
11220,19,49
11280,20,52
11340,21,54
11400,22,55
11460,23,56
11520,0,55
11580,1,56
11640,2,57
11700,3,58
11760,4,58
11820,5,60
11880,6,61
11940,7,63
12000,8,61
12060,9,62
12120,10,60
12180,11,57
12240,12,59
12300,13,58
12360,14,57
12420,15,59
12480,16,59
12540,17,59
12600,18,60
12660,19,63
12720,20,64
12780,21,69
12840,22,70
12900,23,70
12960,0,69
13020,1,72
13080,2,72
13140,3,72
13200,4,74
13260,5,75
13320,6,76
13380,7,74
13440,8,72
13500,9,71
13560,10,70
13620,11,68
13680,12,68
13740,13,68
13800,14,68
13860,15,67
13920,16,68
13980,17,70
14040,18,69
14100,19,70
14160,20,70
14220,21,73
14280,22,73
14340,23,74
14400,0,73
14460,1,75
14520,2,76
14580,3,75
14640,4,78
14700,5,76
14760,6,78
14820,7,78
14880,8,78
14940,9,79
15000,10,77
15060,11,76
15120,12,76
15180,13,77
15240,14,75
15300,15,74
15360,16,74
15420,17,75
15480,18,75
15540,19,76
15600,20,78
15660,21,84
15720,22,83
15780,23,86
15840,0,83
15900,1,84
15960,2,85
16020,3,77
16080,4,79
16140,5,81
16200,6,83
16260,7,86
16320,8,86
16380,9,85
16440,10,83
16500,11,81
16560,12,80
16620,13,80
16680,14,80
16740,15,82
16800,16,82
16860,17,82
16920,18,84
16980,19,83
17040,20,82
17100,21,88
17160,22,89
17220,23,88
17280,0,87
17340,1,88
17400,2,70
17460,3,71
17520,4,73
17580,5,73
17640,6,74
17700,7,75
17760,8,77
17820,9,78
17880,10,77
17940,11,76
18000,12,75
18060,13,74
18120,14,74
18180,15,72
18240,16,71
18300,17,72
18360,18,72
18420,19,73
18480,20,75
18540,21,80
18600,22,79
18660,23,81
18720,0,81
18780,1,80
18840,2,82
18900,3,81
18960,4,85
19020,5,83
19080,6,86
19140,7,87
19200,8,88
19260,9,86
19320,10,85
19380,11,83
19440,12,81
19500,13,83
19560,14,83
19620,15,82
19680,16,80
19740,17,80
19800,18,81
19860,19,83
19920,20,84
19980,21,86
20040,22,90
20100,23,87
20160,0,89
20220,1,88
20280,2,92
20340,3,92
20400,4,92
20460,5,94
20520,6,96
20580,7,97
20640,8,96
20700,9,96
20760,10,96
20820,11,93
20880,12,93
20940,13,96
21000,14,95
21060,15,97
21120,16,98
21180,17,99
21240,18,97
21300,19,99
21360,20,100
21420,21,102
21480,22,105
21540,23,104
