Simulation Time,Hour of Day,Queue Length
0,0,0
60,1,0
120,2,0
180,3,0
240,4,0
300,5,0
360,6,0
420,7,0
480,8,0
540,9,0
600,10,0
660,11,0
720,12,10
780,13,10
840,14,5
900,15,0
960,16,5
1020,17,0
1080,18,2
1140,19,0
1200,20,0
1260,21,0
1320,22,0
1380,23,0
1440,0,0
1500,1,0
1560,2,0
1620,3,0
1680,4,0
1740,5,0
1800,6,0
1860,7,0
1920,8,0
1980,9,0
2040,10,0
2100,11,0
2160,12,6
2220,13,0
2280,14,0
2340,15,0
2400,16,0
2460,17,3
2520,18,0
2580,19,1
2640,20,5
2700,21,0
2760,22,0
2820,23,0
2880,0,1
2940,1,0
3000,2,0
3060,3,0
3120,4,0
3180,5,0
3240,6,0
3300,7,0
3360,8,0
3420,9,0
3480,10,0
3540,11,4
3600,12,8
3660,13,8
3720,14,0
3780,15,0
3840,16,0
3900,17,0
3960,18,0
4020,19,0
4080,20,0
4140,21,0
4200,22,0
4260,23,0
4320,0,0
4380,1,0
4440,2,0
4500,3,0
4560,4,0
4620,5,0
4680,6,0
4740,7,0
4800,8,0
4860,9,0
4920,10,0
4980,11,0
5040,12,3
5100,13,0
5160,14,0
5220,15,0
5280,16,5
5340,17,0
5400,18,0
5460,19,0
5520,20,6
5580,21,2
5640,22,0
5700,23,0
5760,0,0
5820,1,0
5880,2,0
5940,3,0
6000,4,0
6060,5,0
6120,6,0
6180,7,0
6240,8,0
6300,9,0
6360,10,3
6420,11,11
6480,12,10
6540,13,12
6600,14,11
6660,15,13
6720,16,23
6780,17,19
6840,18,16
6900,19,1
6960,20,2
7020,21,0
7080,22,0
7140,23,0
7200,0,0
7260,1,0
7320,2,1
7380,3,0
7440,4,0
7500,5,0
7560,6,0
7620,7,0
7680,8,1
7740,9,0
7800,10,2
7860,11,0
7920,12,0
7980,13,0
8040,14,0
8100,15,0
8160,16,0
8220,17,0
8280,18,0
8340,19,0
8400,20,0
8460,21,0
8520,22,0
8580,23,0
8640,0,0
8700,1,0
8760,2,0
8820,3,0
8880,4,0
8940,5,0
9000,6,0
9060,7,0
9120,8,0
9180,9,0
9240,10,0
9300,11,0
9360,12,0
9420,13,0
9480,14,0
9540,15,0
9600,16,0
9660,17,0
9720,18,0
9780,19,0
9840,20,0
9900,21,0
9960,22,0
10020,23,0
10080,0,0
10140,1,0
10200,2,0
10260,3,0
10320,4,0
10380,5,0
10440,6,0
10500,7,0
10560,8,0
10620,9,0
10680,10,5
10740,11,0
10800,12,1
10860,13,0
10920,14,0
10980,15,0
11040,16,1
11100,17,1
11160,18,0
11220,19,0
11280,20,0
11340,21,0
11400,22,0
11460,23,0
11520,0,0
11580,1,0
11640,2,0
11700,3,0
11760,4,0
11820,5,0
11880,6,0
11940,7,0
12000,8,0
12060,9,0
12120,10,0
12180,11,0
12240,12,5
12300,13,5
12360,14,0
12420,15,0
12480,16,6
12540,17,5
12600,18,1
12660,19,2
12720,20,0
12780,21,0
12840,22,2
12900,23,0
12960,0,1
13020,1,2
13080,2,0
13140,3,0
13200,4,0
13260,5,0
13320,6,0
13380,7,0
13440,8,4
13500,9,0
13560,10,0
13620,11,0
13680,12,0
13740,13,0
13800,14,0
13860,15,0
13920,16,4
13980,17,1
14040,18,4
14100,19,2
14160,20,4
14220,21,3
14280,22,0
14340,23,0
14400,0,0
14460,1,0
14520,2,0
14580,3,0
14640,4,0
14700,5,0
14760,6,0
14820,7,0
14880,8,0
14940,9,0
15000,10,4
15060,11,0
15120,12,8
15180,13,7
15240,14,0
15300,15,0
15360,16,13
15420,17,8
15480,18,0
15540,19,0
15600,20,3
15660,21,0
15720,22,0
15780,23,0
15840,0,0
15900,1,0
15960,2,0
16020,3,0
16080,4,0
16140,5,0
16200,6,0
16260,7,0
16320,8,0
16380,9,0
16440,10,0
16500,11,0
16560,12,2
16620,13,0
16680,14,0
16740,15,0
16800,16,0
16860,17,3
16920,18,0
16980,19,7
17040,20,7
17100,21,2
17160,22,0
17220,23,0
17280,0,0
17340,1,0
17400,2,0
17460,3,0
17520,4,0
17580,5,0
17640,6,0
17700,7,0
17760,8,0
17820,9,0
17880,10,0
17940,11,5
18000,12,7
18060,13,0
18120,14,0
18180,15,0
18240,16,2
18300,17,0
18360,18,0
18420,19,0
18480,20,4
18540,21,0
18600,22,0
18660,23,0
18720,0,0
18780,1,0
18840,2,0
18900,3,0
18960,4,0
19020,5,0
19080,6,0
19140,7,0
19200,8,0
19260,9,0
19320,10,0
19380,11,0
19440,12,6
19500,13,0
19560,14,0
19620,15,0
19680,16,0
19740,17,0
19800,18,0
19860,19,0
19920,20,0
19980,21,0
20040,22,0
20100,23,0
20160,0,0
20220,1,0
20280,2,0
20340,3,0
20400,4,0
20460,5,0
20520,6,0
20580,7,0
20640,8,0
20700,9,0
20760,10,0
20820,11,0
20880,12,3
20940,13,0
21000,14,2
21060,15,0
21120,16,0
21180,17,3
21240,18,4
21300,19,2
21360,20,4
21420,21,0
21480,22,2
21540,23,0
