mu,sigma,ks_stat,ks_p,sim_mean,obs_mean,mean_diff,n_sim,q_ks_stat,q_ks_p,sim_q_mean,obs_q_mean,q_mean_diff,q_hourly_rmse,n_sim_queue
3.9,0.6,0.02501363260346856,2.551076565289039e-33,328.8698883302934,302.3248252983668,26.54506303192659,91584,0.32818887378839057,0.0,14.735390887237036,18.569142797578717,3.8337519103416806,4.6369789462436595,90269
3.95,0.5,0.049728150282574934,1.5754977830740331e-130,318.0717350359438,302.3248252983668,15.74690973757697,91643,0.3734767609584958,0.0,12.592755821807833,18.569142797578717,5.976386975770884,6.719230299145644,90307
4.0,0.45,0.052053817701579796,6.383565872599152e-143,353.89797974977193,302.3248252983668,51.57315445140512,91577,0.22096840251155925,0.0,21.02675193060872,18.569142797578717,2.4576091330300045,3.7331858500289457,90386
3.95,0.55,0.0538413104066906,8.618196370095123e-153,355.5715274286544,302.3248252983668,53.24670213028759,91496,0.24517337044391496,0.0,21.917678976800843,18.569142797578717,3.348536179222126,4.6756914598294435,90305
3.85,0.65,0.05813318985462729,2.193399987231354e-178,309.1299334257596,302.3248252983668,6.805108127392771,91742,0.4206704037309664,0.0,11.441192741757026,18.569142797578717,7.127950055821691,7.5068295045927265,90380
3.9,0.65,0.06579762727927702,4.458236617629081e-228,354.9670530071062,302.3248252983668,52.64222770873937,91515,0.2049584205055811,0.0,21.921045922608823,18.569142797578717,3.3519031250301055,4.8993793287158915,90217
3.9,0.55,0.06593188961316115,3.2110104917263927e-229,305.2792418531518,302.3248252983668,2.9544165547849843,91644,0.44183343945699416,0.0,10.598559367980792,18.569142797578717,7.970583429597925,8.48584951363723,90377
3.95,0.45,0.07906175635784674,0.0,299.05706044743357,302.3248252983668,3.267764850933247,91660,0.46622279900223595,0.0,9.14819161066767,18.569142797578717,9.420951186911047,9.967056046651098,90329
3.9,0.5,0.09136618073356167,0.0,289.35631124014634,302.3248252983668,12.968514058220478,91529,0.5160675451108665,0.0,8.549954556538317,18.569142797578717,10.0191882410404,10.44389839698776,90222
4.0,0.5,0.09381150276767486,0.0,378.71233948875164,302.3248252983668,76.38751419038482,91510,0.20387744818289544,0.0,25.69678806075983,18.569142797578717,7.127645263181112,7.882856772878627,90257
3.85,0.6,0.098875094688465,0.0,282.7072241704967,302.3248252983668,19.617601127870103,91499,0.5168074067645944,0.0,7.87844801790919,18.569142797578717,10.690694779669528,11.016345720463686,90233
3.85,0.55,0.1088695123128764,0.0,282.26603442061423,302.3248252983668,20.058790877752585,91572,0.564485278701573,0.0,6.683952122353984,18.569142797578717,11.885190675224733,12.295750670025601,90230
3.95,0.6,0.11563716870577229,0.0,386.8157851686935,302.3248252983668,84.49095987032666,91447,0.2693895823486854,0.0,29.643733936009927,18.569142797578717,11.07459113843121,11.834512796799466,90264
3.9,0.45,0.1165470025031416,0.0,277.1043732365656,302.3248252983668,25.22045206180121,91742,0.579705105542381,0.0,6.468721648115776,18.569142797578717,12.100421149462942,12.617171017768248,90382
3.85,0.5,0.12883770514627435,0.0,272.02638224998213,302.3248252983668,30.298443048384684,91524,0.6264101907668341,0.0,5.276638935108153,18.569142797578717,13.292503862470564,13.699687604129315,90150
3.85,0.45,0.1463915026656195,0.0,266.74594510213717,302.3248252983668,35.57888019622965,91453,0.6734156901415832,0.0,4.315994538612674,18.569142797578717,14.253148258966043,14.615329540098507,90087
4.0,0.55,0.23342061615180437,0.0,521.2815301387883,302.3248252983668,218.95670484042148,90961,0.4970674822193748,0.0,55.38357469723327,18.569142797578717,36.81443189965455,37.01775515438197,90251
4.05,0.45,0.25694372017700134,0.0,590.3862812640095,302.3248252983668,288.0614559656427,90769,0.5510444237346339,0.0,72.9769879117223,18.569142797578717,54.40784511414358,54.64330613630378,90170
3.95,0.65,0.30413480872563853,0.0,634.4867774551095,302.3248252983668,332.1619521567427,90715,0.5981129703804229,0.0,79.05351636327464,18.569142797578717,60.48437356569592,60.80079403864475,90477
4.05,0.5,0.3885076190094467,0.0,873.5664453132705,302.3248252983668,571.2416200149037,89533,0.7745435464061763,0.0,130.18123515966536,18.569142797578717,111.61209236208664,111.84131881277085,90126
4.0,0.6,0.44968619282782435,0.0,938.567168497503,302.3248252983668,636.2423431991361,89264,0.8459993555006982,0.0,143.03125,18.569142797578717,124.46210720242128,124.78177369574229,90240
4.05,0.55,0.5737992288040885,0.0,1375.440833727179,302.3248252983668,1073.1160084288122,87851,0.9426526718375664,0.0,234.302310128685,18.569142797578717,215.7331673311063,215.56629781795525,90298
4.0,0.65,0.6102026827211872,0.0,1569.7696038763163,302.3248252983668,1267.4447785779494,86922,0.978285031028327,0.0,274.7913122654289,18.569142797578717,256.2221694678502,255.95362087580872,90058
4.05,0.6,0.6587609538796138,0.0,2248.7839315096303,302.3248252983668,1946.4591062112636,84844,0.9971001113670549,0.0,416.98035183158083,18.569142797578717,398.4112090340021,397.74349555442325,90441
4.05,0.65,0.6977522836972819,0.0,2951.2843727540508,302.3248252983668,2648.959547455684,82096,1.0,0.0,566.0720217624487,18.569142797578717,547.50287896487,546.7851443303715,90431
