mu,sigma,ks_stat,ks_p,sim_mean,obs_mean,mean_diff,n_sim,q_ks_stat,q_ks_p,sim_q_mean,obs_q_mean,q_mean_diff,q_hourly_rmse,n_sim_queue
3.9,0.65,0.16370991457349676,0.0,264.4437829478589,302.3248252983668,37.881042350507926,26107,0.2676460188580311,0.0,17.203920695032302,18.569142797578717,1.365222102546415,3.227536893946941,22445
3.95,0.65,0.16466103795137804,0.0,383.5765752827539,302.3248252983668,81.25174998438706,25858,0.4781654891530231,0.0,46.88187925434889,18.569142797578717,28.31273645677017,28.651337037186043,22477
4.0,0.5,0.1647844483509483,0.0,265.78372854350886,302.3248252983668,36.54109675485796,26158,0.22567776656089544,0.0,17.39099589505622,18.569142797578717,1.1781469025224958,3.311722891507276,22412
4.0,0.55,0.16554403262688855,0.0,349.2200415776304,302.3248252983668,46.89521627926359,25865,0.4341559193566893,0.0,37.30322206871964,18.569142797578717,18.734079271140924,18.866772434935438,22439
4.05,0.5,0.16587630736591616,0.0,348.27021238477175,302.3248252983668,45.945387086404935,25734,0.42055250389229626,0.0,39.81059425773425,18.569142797578717,21.241451460155535,21.230649716123796,22465
3.95,0.6,0.16597485665490203,0.0,286.3743466007352,302.3248252983668,15.950478697631638,25993,0.18936161076208358,0.0,24.618405784164956,18.569142797578717,6.049262986586239,6.813073684089962,22406
3.95,0.55,0.16701934172367805,0.0,240.31151407763554,302.3248252983668,62.01331122073128,26229,0.3495525994712061,0.0,12.189022206303726,18.569142797578717,6.380120591274991,7.070369799036781,22336
4.05,0.45,0.16736922826794368,0.0,349.57702510724727,302.3248252983668,47.25219980888045,25929,0.39021563474637466,0.0,35.97591061452514,18.569142797578717,17.406767816946424,17.584369270692232,22375
4.0,0.6,0.16840929977319857,0.0,406.4282735479616,302.3248252983668,104.1034482495948,25605,0.5910299257664958,0.0,55.45014957360361,18.569142797578717,36.88100677602489,37.22172382608246,22397
4.0,0.45,0.1695487090853009,0.0,242.6897256610736,302.3248252983668,59.63509963729322,26227,0.3218882259752661,0.0,12.24531860433787,18.569142797578717,6.323824193240847,7.2786438901639645,22269
3.95,0.5,0.17201660123245116,0.0,234.8037523393263,302.3248252983668,67.52107295904051,26243,0.41498775180813463,0.0,9.794688685561258,18.569142797578717,8.774454112017459,9.439279772197258,22405
3.9,0.6,0.17406827740952557,0.0,231.8956141975847,302.3248252983668,70.42921110078211,26178,0.43504707686224553,0.0,10.509294012511171,18.569142797578717,8.059848785067546,8.680965406178576,22380
3.85,0.65,0.19263860679705141,0.0,223.06096043114144,302.3248252983668,79.26386486722538,26240,0.5298885582022008,0.0,8.353731142844353,18.569142797578717,10.215411654734364,10.483837997701968,22339
3.9,0.55,0.19889005807062565,0.0,221.44508904933028,302.3248252983668,80.87973624903654,26278,0.5279618388993504,0.0,7.065947832311753,18.569142797578717,11.503194965266964,11.920164091202354,22351
3.85,0.6,0.200071092200668,0.0,226.62240476843485,302.3248252983668,75.70242052993197,26276,0.5603357283990299,0.0,6.618309043098454,18.569142797578717,11.950833754480264,12.230174804028172,22437
3.95,0.45,0.20104581907002045,0.0,221.8866518705738,302.3248252983668,80.43817342779303,26282,0.5541010876837172,0.0,6.696666221569413,18.569142797578717,11.872476576009305,12.524786131759042,22467
3.9,0.45,0.21510068646498354,0.0,216.3352104610255,302.3248252983668,85.98961483734132,26298,0.6199757518567194,0.0,5.261325745787579,18.569142797578717,13.307817051791138,13.752090490923056,22493
3.85,0.55,0.21867963449736377,0.0,226.23252314064683,302.3248252983668,76.09230215771998,26286,0.6408807659086041,0.0,5.051581291759465,18.569142797578717,13.517561505819252,13.811037182046142,22450
3.9,0.5,0.22057057901215987,0.0,209.20726696316746,302.3248252983668,93.11755833519936,26283,0.5849859446681035,0.0,5.832953071176129,18.569142797578717,12.73618972640259,13.032570175281087,22353
4.05,0.55,0.22753652532736157,0.0,493.3464063329834,302.3248252983668,191.0215810346166,25230,0.7246523416692425,0.0,77.0820147091598,18.569142797578717,58.51287191158107,57.87553981527123,22435
3.85,0.45,0.23312716089400753,0.0,217.14024688592505,302.3248252983668,85.18457841244177,26246,0.6893259922530426,0.0,3.9562990021382753,18.569142797578717,14.612843795440442,14.945093088819617,22448
3.85,0.5,0.2369522147189298,0.0,206.39525275533146,302.3248252983668,95.92957254303536,26288,0.6810798269549345,0.0,4.283695554959306,18.569142797578717,14.285447242619412,14.59159533432997,22362
4.0,0.65,0.24805473367240194,0.0,533.0999269808335,302.3248252983668,230.7751016824667,25107,0.7637825224645394,0.0,88.18946098149638,18.569142797578717,69.62031818391766,69.61838023476477,22374
4.05,0.6,0.3508269209316005,0.0,645.886407290313,302.3248252983668,343.5615819919461,24775,0.8861904625803906,0.0,117.14861111111111,18.569142797578717,98.57946831353239,98.19576921721391,22320
4.05,0.65,0.43644777829044473,0.0,831.8254730541248,302.3248252983668,529.500647755758,23977,0.9576639192319213,0.0,165.04249519638947,18.569142797578717,146.47335239881076,145.71932052270952,22379
