mu,sigma,label,n,mean,sd,p50,p75,p90,p95,p99,min,max
3.85,0.45,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.45,DES,22448,3.9562990021382753,5.658980688073628,1.0,6.0,12.0,16.0,24.0,0.0,40.0
3.85,0.5,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.5,DES,22362,4.283695554959306,6.092904433247586,2.0,6.0,13.0,17.0,28.0,0.0,40.0
3.85,0.55,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.55,DES,22450,5.051581291759465,6.80118070754055,2.0,8.0,15.0,20.0,29.0,0.0,40.0
3.85,0.6,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.6,DES,22437,6.618309043098454,8.132568470923665,4.0,10.0,18.0,23.0,37.0,0.0,51.0
3.85,0.65,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.65,DES,22339,8.353731142844353,11.59666041355452,4.0,11.0,22.0,34.0,51.0,0.0,86.0
3.9,0.45,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.45,DES,22493,5.261325745787579,6.609815746565907,3.0,8.0,15.0,19.0,28.0,0.0,38.0
3.9,0.5,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.5,DES,22353,5.832953071176129,7.051598884725106,3.0,9.0,16.0,20.399999999997817,29.0,0.0,47.0
3.9,0.55,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.55,DES,22351,7.065947832311753,8.068439891155473,4.0,11.0,19.0,24.0,32.0,0.0,45.0
3.9,0.6,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.6,DES,22380,10.509294012511171,11.937451616615634,7.0,16.0,28.0,36.0,50.0,0.0,69.0
3.9,0.65,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.65,DES,22445,17.203920695032302,18.130850821567602,12.0,25.0,40.0,52.0,86.0,0.0,119.0
3.95,0.45,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.95,0.45,DES,22467,6.696666221569413,7.960173556577279,4.0,10.0,17.0,23.0,35.0,0.0,54.0
3.95,0.5,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.95,0.5,DES,22405,9.794688685561258,10.002725855841286,7.0,15.0,24.0,31.0,40.0,0.0,55.0
