mu,sigma,label,n,mean,sd,p50,p75,p90,p95,p99,min,max
3.85,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.45,DES,26246,217.14024688592505,271.19575655742665,134.67645464893803,261.0158926546799,516.2805808576632,761.253180171394,1307.9825367528708,0.0,3106.5774625237877
3.85,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.5,DES,26288,206.39525275533146,252.92139439442647,133.49440783831324,248.7145247649794,489.48241422902936,698.8857806893641,1151.3827149388053,0.0,5998.875985771901
3.85,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.55,DES,26286,226.23252314064683,282.2822298177004,140.19973707104782,278.4729852614762,543.4254826215151,802.3878883165037,1329.3796210452583,0.0,7061.226142551662
3.85,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.6,DES,26276,226.62240476843485,269.51751115590343,147.01467467554448,286.69140746601215,541.5266889087011,778.209933091538,1248.918711285553,0.0,4948.445181820398
3.85,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.65,DES,26240,223.06096043114144,257.04799933186723,149.36019175398542,290.41115995772066,523.2689818399518,728.9166991031339,1192.3415104179746,0.0,5214.2075554715775
3.9,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.45,DES,26298,216.3352104610255,254.05527036390416,141.6725202910302,273.82182076963977,511.3983484539757,724.9691758295398,1217.803956368373,0.0,4163.805922635098
3.9,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.5,DES,26283,209.20726696316746,250.69287991373082,139.37838504447427,261.20487916494403,487.00804872765843,679.4714430411132,1166.3321096548477,0.0,7080.062461789839
3.9,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.55,DES,26278,221.44508904933028,260.5062149258033,147.01846507192295,276.6403969188108,523.0124319125205,742.1108950936998,1249.7773910312817,0.0,3794.7923688495916
3.9,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.6,DES,26178,231.8956141975847,271.73912176073617,156.59371060548438,302.8718948420319,532.1438067853517,754.4621656091783,1293.9511306916243,0.0,5671.379705749731
3.9,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.65,DES,26107,264.4437829478589,287.8279900441324,181.9830578057472,359.08044885517074,621.4135640984006,851.8053397362102,1299.7649700505524,0.0,7002.334605272628
3.95,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.45,DES,26282,221.8866518705738,262.5790531386168,146.7743568945416,278.8016618129932,517.900296277921,738.3313295845156,1251.1646745882088,0.0,5008.413274592591
3.95,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.5,DES,26243,234.8037523393263,273.8093082059619,157.14179890199375,301.5317556239511,545.5922569415914,776.3491928327228,1314.5169599872788,0.0,6205.979869754119
3.95,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.55,DES,26229,240.31151407763554,275.61437509691234,167.50152235708993,316.60365222909104,545.6852457847829,761.3696660082435,1265.5536057836687,0.0,6959.299946076303
3.95,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.6,DES,25993,286.3743466007352,315.4100105829472,197.64323637454618,390.7541120539936,686.4442614766701,908.5504781485912,1374.9534567111725,0.0,10325.861642316151
3.95,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.65,DES,25858,383.5765752827539,386.3380514931147,271.96257117941286,562.8653739852333,928.4952198397921,1144.526976914039,1589.1567997863963,0.0,6151.473437912721
4.0,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.45,DES,26227,242.6897256610736,275.0128901828013,169.77090101493923,314.0005824746336,557.816240103659,787.8882007069056,1306.087499962078,0.0,5207.326504886703
4.0,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.5,DES,26158,265.78372854350886,283.23600390715467,190.06371207629468,358.80396159953875,614.8432149103899,828.416984287414,1307.8140595418206,0.0,4841.474131321214
4.0,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.55,DES,25865,349.2200415776304,348.1658613755044,254.81925878140737,500.5205580493025,811.2999038159679,1014.599423323714,1588.511006797576,0.0,3479.63639526747
4.0,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.6,DES,25605,406.4282735479616,394.78573388207343,309.5211019878261,604.521780046116,952.070130201438,1171.4179984404655,1660.838489264424,0.0,6326.858911679995
4.0,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.65,DES,25107,533.0999269808335,507.91855720974553,393.4718584213497,839.4171041183326,1320.3606742532418,1509.8267307757533,1894.897965990161,0.0,4103.995392430449
4.05,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.45,DES,25929,349.57702510724727,354.8709942903326,246.9557358558436,493.0651906930948,840.5293587059949,1078.0916220260895,1521.946955446979,0.0,4354.999726878876
4.05,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.5,DES,25734,348.27021238477175,338.8666449723559,261.2492963060995,500.2052449473367,813.1511345238603,1022.042322162471,1416.318866846008,0.0,4472.509590095589
4.05,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.55,DES,25230,493.3464063329834,468.19051818718185,366.3032800866981,779.0856431963657,1218.7907907593674,1375.8616439472669,1744.9648484845138,0.0,6107.355175270619
4.05,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.6,DES,24775,645.886407290313,578.1653216566808,533.4970715457093,1095.9458142981043,1470.871595407471,1636.9778671061702,2119.926076411517,0.0,6359.5969000545965
4.05,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.65,DES,23977,831.8254730541248,735.8059983109383,770.3059846459146,1433.8650032298065,1804.4286805896888,2056.008194987375,2582.8054043097313,0.0,6265.478765259156
