mu,sigma,label,n,mean,sd,p50,p75,p90,p95,p99,min,max
3.85,0.45,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.45,DES,90087,4.315994538612674,6.0843313719023895,2.0,7.0,13.0,17.0,26.0,0.0,41.0
3.85,0.5,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.5,DES,90150,5.276638935108153,7.184374426835797,3.0,8.0,15.0,20.0,32.0,0.0,66.0
3.85,0.55,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.55,DES,90230,6.683952122353984,8.729171286804199,4.0,10.0,18.0,24.0,39.0,0.0,65.0
3.85,0.6,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.6,DES,90233,7.87844801790919,9.85310408434145,4.0,12.0,21.0,29.0,44.0,0.0,70.0
3.85,0.65,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.85,0.65,DES,90380,11.441192741757026,14.416684308796254,7.0,16.0,30.0,41.0,64.0,0.0,114.0
3.9,0.45,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.45,DES,90382,6.468721648115776,8.902925997985262,3.0,9.0,17.0,24.0,43.0,0.0,74.0
3.9,0.5,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.5,DES,90222,8.549954556538317,11.004140241629555,5.0,12.0,24.0,32.0,46.0,0.0,89.0
3.9,0.55,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
3.9,0.55,DES,90377,10.598559367980792,13.175475242884826,6.0,15.0,28.0,37.0,60.0,0.0,101.0
3.9,0.6,Observed,134309,18.569142797578717,10.233305017428597,17.0,24.0,33.0,38.0,50.0,-1.0,71.0
