mu,sigma,label,n,mean,sd,p50,p75,p90,p95,p99,min,max
3.85,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.45,DES,91453,266.74594510213717,296.7480149444462,167.42243031551334,319.8290136420619,604.8454578733873,874.5760955331192,1440.6970603473176,0.23106638683384517,7846.7366045920135
3.85,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.5,DES,91524,272.02638224998213,296.80169400368686,173.8336121617249,328.1645710123621,609.1098162197503,879.1042145137785,1442.3716480670994,0.294889723219967,7445.278161607042
3.85,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.55,DES,91572,282.26603442061423,308.45160420704576,181.75505131247337,340.99160785669847,630.8434206849457,905.7426777377112,1465.3492230642246,0.2541101647402684,7840.661006981929
3.85,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.6,DES,91499,282.7072241704967,299.608700028567,185.87134885472915,344.58595413202784,627.8621252546006,895.6304789768155,1422.2200246083994,0.2890205717267236,7050.6759289697875
3.85,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.85,0.65,DES,91742,309.1299334257596,328.69046922999723,203.4025496083541,378.39014208363824,682.2829192805299,977.3926514484539,1612.7002224832163,0.27413432692083006,6407.865221452666
3.9,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.45,DES,91742,277.1043732365656,297.4170579532072,178.73672287652153,337.5985208794182,627.2656679568439,893.2090240802154,1396.7027339811586,0.2916941528310417,6372.896715081464
3.9,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.5,DES,91529,289.35631124014634,303.57126774848916,189.2219269045163,355.62040655372766,652.8658460853325,918.0260959241717,1415.3230934839128,0.43829780050509726,5904.295283603053
3.9,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.55,DES,91644,305.2792418531518,326.78022559768647,200.59758830156898,374.4810948263894,686.1690186895898,968.921745542423,1540.429099062257,0.34803344719693996,21958.522869643482
3.9,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.6,DES,91584,328.8698883302934,338.9408542764266,220.62050903243653,409.16311816819143,721.350813584282,1007.1776619812429,1651.3838884976985,0.32144767824502196,6443.449432260437
3.9,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.9,0.65,DES,91515,354.9670530071062,337.93938477637835,244.79415712546324,459.71434589702403,777.2572557100619,1030.061170778772,1522.8854596736462,0.2654594588530017,18624.84067568593
3.95,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.45,DES,91660,299.05706044743357,324.98566791182594,193.7332088320136,361.15014701821474,671.6807365444378,967.4367854967858,1530.4801457268536,0.2808738276071381,11221.60470023827
3.95,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.5,DES,91643,318.0717350359438,344.4303542472615,206.97580314069637,384.04762287493213,711.1567602803003,1017.0759554996754,1661.0352960641148,0.2890205717267236,8238.568012019728
3.95,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.55,DES,91496,355.5715274286544,348.45421530604045,237.3339971754831,463.1999822351554,801.2187238373735,1047.870153427325,1575.123778061065,0.2710944744903827,21863.028267031128
3.95,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.6,DES,91447,386.8157851686935,345.52471816832445,282.1886129192899,516.0202980351041,849.1709366835661,1085.2889589761514,1524.1025729776788,0.2843247401615372,7929.761814837686
3.95,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
3.95,0.65,DES,90715,634.4867774551095,550.6024424619038,465.3249598276452,949.1302218852888,1464.7641335810856,1687.0779475769918,2234.086904285583,0.2274143337199348,18667.764583858127
4.0,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.45,DES,91577,353.89797974977193,340.13775735712153,237.61276474505576,457.227298662001,788.7970683742818,1054.6736052417878,1545.0766773993848,0.29288897421065485,9010.906258654824
4.0,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.5,DES,91510,378.71233948875164,377.3230054228532,264.26358908862676,484.29190946012886,813.140570152645,1079.3247885063809,1818.0709276919313,0.2669933076831512,18786.126772745003
4.0,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.55,DES,90961,521.2815301387883,454.87510169683213,382.74122560389515,750.5390621844417,1171.4944385195631,1395.9448085862823,1887.3801307200606,0.23668858560631634,22405.046271754385
4.0,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.6,DES,89264,938.567168497503,798.1926797465586,727.7228147376172,1362.7134452052733,2156.5638925128833,2636.3273653883252,3126.2848353202507,0.26347892472404055,7774.08177254723
4.0,0.65,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.0,0.65,DES,86922,1569.7696038763163,1238.291553015225,1429.0763892709174,2400.088635910709,3265.941347590635,3976.7292887915883,4843.626770988255,0.29651206700509647,10957.75990789296
4.05,0.45,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.45,DES,90769,590.3862812640095,579.0447185453507,405.6900022683476,793.8453519887917,1290.4821182427095,1770.7998722129253,2790.8785149390906,0.24766810614528367,6660.764147394992
4.05,0.5,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.5,DES,89533,873.5664453132705,869.140694060988,590.5701508176862,1178.813721998762,2008.862377867179,3046.7797593849123,3712.4129776326363,0.31786644362000516,7727.348749087083
4.05,0.55,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.55,DES,87851,1375.440833727179,1122.6463938851,1209.1729757005269,2074.1906033020496,2922.043300124882,3416.653889216708,4644.387261320044,0.3146402363854577,11706.336785875912
4.05,0.6,Observed,178304,302.3248252983668,249.86634897461062,224.0,401.0,650.0,849.0,1166.1940000000002,5.0,1338.0
4.05,0.6,DES,84844,2248.7839315096303,1771.377336307092,2103.782265027121,3490.698372118266,4570.37812954182,5541.493291592851,6759.644957736428,0.29789452081968193,9326.58052036327
